Timecode List:,00:00:10.000,00:00:20.000,00:00:21.000,00:00:22.000,00:00:23.000,00:00:24.000,00:00:28.000,00:00:29.000,00:00:30.000,00:00:37.000,00:00:40.000,00:00:42.000,00:00:44.000,00:00:45.000,00:00:50.000,00:00:51.000,00:00:52.000,00:00:56.000,00:01:00.000,00:01:02.000,00:01:05.000,00:01:10.000,00:01:16.000,00:01:20.000,00:01:23.000,00:01:30.000,00:01:32.000,00:01:38.000,00:01:40.000,00:01:44.000,00:01:48.000,00:01:50.000,00:01:55.000,00:01:58.000,00:02:00.000,00:02:01.000,00:02:02.000,00:02:03.000,00:02:04.000,00:02:10.000,00:02:18.000,00:02:20.000,00:02:22.000,00:02:23.000,00:02:24.000,00:02:28.000,00:02:30.000,00:02:32.000,00:02:34.000,00:02:37.000,00:02:40.000,00:02:41.000,00:02:47.000,00:02:48.000,00:02:49.000,00:02:50.000,00:02:53.000,00:02:58.000,00:03:00.000,00:03:02.000,00:03:03.000,00:03:07.000,00:03:09.000,00:03:10.000,00:03:11.000,00:03:17.000,00:03:18.000,00:03:19.000,00:03:20.000,00:03:25.000,00:03:30.000,00:03:40.000,00:03:48.000,00:03:50.000,00:03:52.000,00:03:54.000,00:03:58.000,00:04:00.000,00:04:10.000,00:04:11.000,00:04:15.000,00:04:16.000,00:04:19.000,00:04:20.000,00:04:30.000,00:04:40.000,00:04:41.000,00:04:42.000,00:04:43.000,00:04:44.000,00:04:45.000,00:04:47.000,00:04:48.000,00:04:50.000,00:04:57.000,00:05:00.000,00:05:02.000,00:05:03.000,00:05:04.000,00:05:05.000,00:05:07.000,00:05:08.000,00:05:09.000,00:05:10.000,00:05:11.000,00:05:12.000,00:05:16.000,00:05:19.000,00:05:20.000,00:05:21.000,00:05:28.000,00:05:30.000,00:05:35.000,00:05:38.000,00:05:40.000,00:05:49.000,00:05:50.000,00:05:52.000,00:05:58.000,00:06:00.000,00:06:01.000,00:06:04.000,00:06:05.000,00:06:09.000,00:06:10.000,00:06:12.000,00:06:17.000,00:06:18.000,00:06:20.000,00:06:21.000,00:06:22.000,00:06:23.000,00:06:24.000,00:06:25.000,00:06:26.000,00:06:27.000,00:06:28.000,00:06:29.000,00:06:30.000,00:06:40.000,00:06:41.000,00:06:42.000,00:06:43.000,00:06:44.000,00:06:48.000,00:06:49.000,00:06:50.000,00:06:51.000,00:06:52.000,00:06:55.000,00:06:58.000,00:06:59.000,00:07:00.000,00:07:06.000,00:07:10.000,00:07:11.000,00:07:16.000,00:07:19.000,00:07:20.000,00:07:23.000,00:07:30.000,00:07:37.000,00:07:40.000,00:07:41.000,00:07:42.000,00:07:49.000,00:07:50.000,00:07:52.000,00:08:00.000,00:08:10.000,00:08:12.000,00:08:14.000,00:08:15.000,00:08:20.000,00:08:24.000,00:08:26.000,00:08:28.000,00:08:30.000,00:08:32.000,00:08:33.000,00:08:34.000,00:08:35.000,00:08:36.000,00:08:37.000,00:08:38.000,00:08:39.000,00:08:40.000,00:08:50.000,00:08:51.000,00:08:52.000,00:08:53.000,00:08:54.000,00:08:55.000,00:08:56.000,00:08:59.000,00:09:00.000,00:09:10.000,00:09:11.000,00:09:12.000,00:09:13.000,00:09:16.000,00:09:17.000,00:09:18.000,00:09:20.000,00:09:30.000,00:09:32.000,00:09:39.000,00:09:40.000,00:09:47.000,00:09:48.000,00:09:49.000,00:09:50.000,00:09:52.000,00:09:59.000,00:10:00.000,00:10:10.000,00:10:13.000,00:10:14.000,00:10:15.000,00:10:16.000,00:10:18.000,00:10:19.000,00:10:20.000,00:10:21.000,00:10:22.000,00:10:23.000,00:10:24.000,00:10:26.000,00:10:30.000,00:10:40.000,00:10:42.000,00:10:44.000,00:10:45.000,00:10:47.000,00:10:49.000,00:10:50.000,00:10:51.000,00:10:52.000,00:10:53.000,00:10:54.000,00:10:55.000,00:11:00.000,00:11:01.000,00:11:02.000,00:11:04.000,00:11:10.000,00:11:14.000,00:11:15.000,00:11:16.000,00:11:17.000,00:11:18.000,00:11:19.000,00:11:20.000,00:11:21.000,00:11:22.000,00:11:23.000,00:11:24.000,00:11:25.000,00:11:26.000,00:11:27.000,00:11:30.000,00:11:32.000,00:11:34.000,00:11:36.000,00:11:37.000,00:11:38.000,00:11:39.000,00:11:40.000,00:11:41.000,00:11:42.000,00:11:43.000,00:11:44.000,00:11:45.000,00:11:46.000,00:11:47.000,00:11:48.000,00:11:49.000,00:11:50.000,00:11:51.000,00:11:56.000,00:12:00.000,00:12:05.000,00:12:10.000,00:12:17.000,00:12:19.000,00:12:20.000,00:12:30.000,00:12:32.000,00:12:33.000,00:12:40.000,00:12:42.000,00:12:43.000,00:12:44.000,00:12:45.000,00:12:46.000,00:12:47.000,00:12:48.000,00:12:49.000,00:12:50.000,00:12:52.000,00:12:58.000,00:12:59.000,00:13:00.000,00:13:02.000,00:13:03.000,00:13:04.000,00:13:06.000,00:13:08.000,00:13:09.000,00:13:10.000,00:13:11.000,00:13:13.000,00:13:15.000,00:13:16.000,00:13:19.000,00:13:20.000,00:13:22.000,00:13:23.000,00:13:24.000,00:13:26.000,00:13:30.000,00:13:32.000,00:13:40.000,00:13:47.000,00:13:49.000,00:13:51.000,00:13:52.000,00:13:54.000,00:13:56.000,00:13:57.000,00:13:58.000,00:13:59.000,00:14:00.000,00:14:01.000,00:14:02.000,00:14:03.000,00:14:04.000,00:14:05.000,00:14:06.000,00:14:07.000,00:14:08.000,00:14:09.000,00:14:12.000,00:14:13.000,00:14:14.000,00:14:15.000,00:14:18.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
66,191,00:03:11.000,191.000,197,00:03:17.000,197.000,6,00:00:06.000,6.000
67,197,00:03:17.000,197.000,198,00:03:18.000,198.000,1,00:00:01.000,1.000
68,198,00:03:18.000,198.000,199,00:03:19.000,199.000,1,00:00:01.000,1.000
69,199,00:03:19.000,199.000,200,00:03:20.000,200.000,1,00:00:01.000,1.000
70,200,00:03:20.000,200.000,205,00:03:25.000,205.000,5,00:00:05.000,5.000
71,205,00:03:25.000,205.000,210,00:03:30.000,210.000,5,00:00:05.000,5.000
72,210,00:03:30.000,210.000,220,00:03:40.000,220.000,10,00:00:10.000,10.000
73,220,00:03:40.000,220.000,228,00:03:48.000,228.000,8,00:00:08.000,8.000
74,228,00:03:48.000,228.000,230,00:03:50.000,230.000,2,00:00:02.000,2.000
75,230,00:03:50.000,230.000,232,00:03:52.000,232.000,2,00:00:02.000,2.000
76,232,00:03:52.000,232.000,234,00:03:54.000,234.000,2,00:00:02.000,2.000
77,234,00:03:54.000,234.000,238,00:03:58.000,238.000,4,00:00:04.000,4.000
78,238,00:03:58.000,238.000,240,00:04:00.000,240.000,2,00:00:02.000,2.000
79,240,00:04:00.000,240.000,250,00:04:10.000,250.000,10,00:00:10.000,10.000
80,250,00:04:10.000,250.000,251,00:04:11.000,251.000,1,00:00:01.000,1.000
81,251,00:04:11.000,251.000,255,00:04:15.000,255.000,4,00:00:04.000,4.000
82,255,00:04:15.000,255.000,256,00:04:16.000,256.000,1,00:00:01.000,1.000
83,256,00:04:16.000,256.000,259,00:04:19.000,259.000,3,00:00:03.000,3.000
84,259,00:04:19.000,259.000,260,00:04:20.000,260.000,1,00:00:01.000,1.000
85,260,00:04:20.000,260.000,270,00:04:30.000,270.000,10,00:00:10.000,10.000
86,270,00:04:30.000,270.000,280,00:04:40.000,280.000,10,00:00:10.000,10.000
87,280,00:04:40.000,280.000,281,00:04:41.000,281.000,1,00:00:01.000,1.000
88,281,00:04:41.000,281.000,282,00:04:42.000,282.000,1,00:00:01.000,1.000
89,282,00:04:42.000,282.000,283,00:04:43.000,283.000,1,00:00:01.000,1.000
90,283,00:04:43.000,283.000,284,00:04:44.000,284.000,1,00:00:01.000,1.000
91,284,00:04:44.000,284.000,285,00:04:45.000,285.000,1,00:00:01.000,1.000
92,285,00:04:45.000,285.000,287,00:04:47.000,287.000,2,00:00:02.000,2.000
93,287,00:04:47.000,287.000,288,00:04:48.000,288.000,1,00:00:01.000,1.000
94,288,00:04:48.000,288.000,290,00:04:50.000,290.000,2,00:00:02.000,2.000
95,290,00:04:50.000,290.000,297,00:04:57.000,297.000,7,00:00:07.000,7.000
96,297,00:04:57.000,297.000,300,00:05:00.000,300.000,3,00:00:03.000,3.000
97,300,00:05:00.000,300.000,302,00:05:02.000,302.000,2,00:00:02.000,2.000
98,302,00:05:02.000,302.000,303,00:05:03.000,303.000,1,00:00:01.000,1.000
99,303,00:05:03.000,303.000,304,00:05:04.000,304.000,1,00:00:01.000,1.000
100,304,00:05:04.000,304.000,305,00:05:05.000,305.000,1,00:00:01.000,1.000
101,305,00:05:05.000,305.000,307,00:05:07.000,307.000,2,00:00:02.000,2.000
102,307,00:05:07.000,307.000,308,00:05:08.000,308.000,1,00:00:01.000,1.000
103,308,00:05:08.000,308.000,309,00:05:09.000,309.000,1,00:00:01.000,1.000
104,309,00:05:09.000,309.000,310,00:05:10.000,310.000,1,00:00:01.000,1.000
105,310,00:05:10.000,310.000,311,00:05:11.000,311.000,1,00:00:01.000,1.000
106,311,00:05:11.000,311.000,312,00:05:12.000,312.000,1,00:00:01.000,1.000
107,312,00:05:12.000,312.000,316,00:05:16.000,316.000,4,00:00:04.000,4.000
108,316,00:05:16.000,316.000,319,00:05:19.000,319.000,3,00:00:03.000,3.000
109,319,00:05:19.000,319.000,320,00:05:20.000,320.000,1,00:00:01.000,1.000
110,320,00:05:20.000,320.000,321,00:05:21.000,321.000,1,00:00:01.000,1.000
111,321,00:05:21.000,321.000,328,00:05:28.000,328.000,7,00:00:07.000,7.000
112,328,00:05:28.000,328.000,330,00:05:30.000,330.000,2,00:00:02.000,2.000
113,330,00:05:30.000,330.000,335,00:05:35.000,335.000,5,00:00:05.000,5.000
114,335,00:05:35.000,335.000,338,00:05:38.000,338.000,3,00:00:03.000,3.000
115,338,00:05:38.000,338.000,340,00:05:40.000,340.000,2,00:00:02.000,2.000
116,340,00:05:40.000,340.000,349,00:05:49.000,349.000,9,00:00:09.000,9.000
117,349,00:05:49.000,349.000,350,00:05:50.000,350.000,1,00:00:01.000,1.000
118,350,00:05:50.000,350.000,352,00:05:52.000,352.000,2,00:00:02.000,2.000
119,352,00:05:52.000,352.000,358,00:05:58.000,358.000,6,00:00:06.000,6.000
120,358,00:05:58.000,358.000,360,00:06:00.000,360.000,2,00:00:02.000,2.000
121,360,00:06:00.000,360.000,361,00:06:01.000,361.000,1,00:00:01.000,1.000
122,361,00:06:01.000,361.000,364,00:06:04.000,364.000,3,00:00:03.000,3.000
123,364,00:06:04.000,364.000,365,00:06:05.000,365.000,1,00:00:01.000,1.000
124,365,00:06:05.000,365.000,369,00:06:09.000,369.000,4,00:00:04.000,4.000
125,369,00:06:09.000,369.000,370,00:06:10.000,370.000,1,00:00:01.000,1.000
126,370,00:06:10.000,370.000,372,00:06:12.000,372.000,2,00:00:02.000,2.000
127,372,00:06:12.000,372.000,377,00:06:17.000,377.000,5,00:00:05.000,5.000
128,377,00:06:17.000,377.000,378,00:06:18.000,378.000,1,00:00:01.000,1.000
129,378,00:06:18.000,378.000,380,00:06:20.000,380.000,2,00:00:02.000,2.000
130,380,00:06:20.000,380.000,381,00:06:21.000,381.000,1,00:00:01.000,1.000
131,381,00:06:21.000,381.000,382,00:06:22.000,382.000,1,00:00:01.000,1.000
132,382,00:06:22.000,382.000,383,00:06:23.000,383.000,1,00:00:01.000,1.000
133,383,00:06:23.000,383.000,384,00:06:24.000,384.000,1,00:00:01.000,1.000
134,384,00:06:24.000,384.000,385,00:06:25.000,385.000,1,00:00:01.000,1.000
135,385,00:06:25.000,385.000,386,00:06:26.000,386.000,1,00:00:01.000,1.000
136,386,00:06:26.000,386.000,387,00:06:27.000,387.000,1,00:00:01.000,1.000
137,387,00:06:27.000,387.000,388,00:06:28.000,388.000,1,00:00:01.000,1.000
138,388,00:06:28.000,388.000,389,00:06:29.000,389.000,1,00:00:01.000,1.000
139,389,00:06:29.000,389.000,390,00:06:30.000,390.000,1,00:00:01.000,1.000
140,390,00:06:30.000,390.000,400,00:06:40.000,400.000,10,00:00:10.000,10.000
141,400,00:06:40.000,400.000,401,00:06:41.000,401.000,1,00:00:01.000,1.000
142,401,00:06:41.000,401.000,402,00:06:42.000,402.000,1,00:00:01.000,1.000
143,402,00:06:42.000,402.000,403,00:06:43.000,403.000,1,00:00:01.000,1.000
144,403,00:06:43.000,403.000,404,00:06:44.000,404.000,1,00:00:01.000,1.000
145,404,00:06:44.000,404.000,408,00:06:48.000,408.000,4,00:00:04.000,4.000
146,408,00:06:48.000,408.000,409,00:06:49.000,409.000,1,00:00:01.000,1.000
147,409,00:06:49.000,409.000,410,00:06:50.000,410.000,1,00:00:01.000,1.000
148,410,00:06:50.000,410.000,411,00:06:51.000,411.000,1,00:00:01.000,1.000
149,411,00:06:51.000,411.000,412,00:06:52.000,412.000,1,00:00:01.000,1.000
150,412,00:06:52.000,412.000,415,00:06:55.000,415.000,3,00:00:03.000,3.000
151,415,00:06:55.000,415.000,418,00:06:58.000,418.000,3,00:00:03.000,3.000
152,418,00:06:58.000,418.000,419,00:06:59.000,419.000,1,00:00:01.000,1.000
153,419,00:06:59.000,419.000,420,00:07:00.000,420.000,1,00:00:01.000,1.000
154,420,00:07:00.000,420.000,426,00:07:06.000,426.000,6,00:00:06.000,6.000
155,426,00:07:06.000,426.000,430,00:07:10.000,430.000,4,00:00:04.000,4.000
156,430,00:07:10.000,430.000,431,00:07:11.000,431.000,1,00:00:01.000,1.000
157,431,00:07:11.000,431.000,436,00:07:16.000,436.000,5,00:00:05.000,5.000
158,436,00:07:16.000,436.000,439,00:07:19.000,439.000,3,00:00:03.000,3.000
159,439,00:07:19.000,439.000,440,00:07:20.000,440.000,1,00:00:01.000,1.000
160,440,00:07:20.000,440.000,443,00:07:23.000,443.000,3,00:00:03.000,3.000
161,443,00:07:23.000,443.000,450,00:07:30.000,450.000,7,00:00:07.000,7.000
162,450,00:07:30.000,450.000,457,00:07:37.000,457.000,7,00:00:07.000,7.000
163,457,00:07:37.000,457.000,460,00:07:40.000,460.000,3,00:00:03.000,3.000
164,460,00:07:40.000,460.000,461,00:07:41.000,461.000,1,00:00:01.000,1.000
165,461,00:07:41.000,461.000,462,00:07:42.000,462.000,1,00:00:01.000,1.000
166,462,00:07:42.000,462.000,469,00:07:49.000,469.000,7,00:00:07.000,7.000
167,469,00:07:49.000,469.000,470,00:07:50.000,470.000,1,00:00:01.000,1.000
168,470,00:07:50.000,470.000,472,00:07:52.000,472.000,2,00:00:02.000,2.000
169,472,00:07:52.000,472.000,480,00:08:00.000,480.000,8,00:00:08.000,8.000
170,480,00:08:00.000,480.000,490,00:08:10.000,490.000,10,00:00:10.000,10.000
171,490,00:08:10.000,490.000,492,00:08:12.000,492.000,2,00:00:02.000,2.000
172,492,00:08:12.000,492.000,494,00:08:14.000,494.000,2,00:00:02.000,2.000
173,494,00:08:14.000,494.000,495,00:08:15.000,495.000,1,00:00:01.000,1.000
174,495,00:08:15.000,495.000,500,00:08:20.000,500.000,5,00:00:05.000,5.000
175,500,00:08:20.000,500.000,504,00:08:24.000,504.000,4,00:00:04.000,4.000
176,504,00:08:24.000,504.000,506,00:08:26.000,506.000,2,00:00:02.000,2.000
177,506,00:08:26.000,506.000,508,00:08:28.000,508.000,2,00:00:02.000,2.000
178,508,00:08:28.000,508.000,510,00:08:30.000,510.000,2,00:00:02.000,2.000
179,510,00:08:30.000,510.000,512,00:08:32.000,512.000,2,00:00:02.000,2.000
180,512,00:08:32.000,512.000,513,00:08:33.000,513.000,1,00:00:01.000,1.000
181,513,00:08:33.000,513.000,514,00:08:34.000,514.000,1,00:00:01.000,1.000
182,514,00:08:34.000,514.000,515,00:08:35.000,515.000,1,00:00:01.000,1.000
183,515,00:08:35.000,515.000,516,00:08:36.000,516.000,1,00:00:01.000,1.000
184,516,00:08:36.000,516.000,517,00:08:37.000,517.000,1,00:00:01.000,1.000
185,517,00:08:37.000,517.000,518,00:08:38.000,518.000,1,00:00:01.000,1.000
186,518,00:08:38.000,518.000,519,00:08:39.000,519.000,1,00:00:01.000,1.000
187,519,00:08:39.000,519.000,520,00:08:40.000,520.000,1,00:00:01.000,1.000
188,520,00:08:40.000,520.000,530,00:08:50.000,530.000,10,00:00:10.000,10.000
